type,label,sketchStyle,symbolStyle,textStyle
tab,Solid,,"file=""line-straight-16.svg""",
line,"Solid, 2px, red",,size=2&color=red,size=12
line,"Solid, 2px, green",,size=6&color=red,size=12
line,"Solid, 2px, blue",,size=12&color=red,size=12
endtab,,,,
tab,Dashed,,"symbol=""line-straight-16.svg""",
line,"Dashed, 2px red",,"size=2&dash=[3,2]&color=red",size=12
line,"Dashed, 6px green",,"size=6&dash=[3,2]&color=green",size=12
line,"Dashed, 12px blue",,"size=12&dash=[3,2]&color=blue",size=12
endtab,,,,
tab,Dotted,,"symbol=""line-straight-16.svg""",
line,"Dotted, 2px red",,"size=2&dash=[1,2]&color=red",size=12
line,"Dotted, 6px green",,"size=6&dash=[1,2]&color=green",size=12
line,"Dotted, 12px blue",,"size=12&dash=[1,2]&color=blue",size=12
endtab,,,,
tab,Coloured,,"symbol=""line-straight-16.svg""",
line,"Dotted, 2px red",,size=2&color=red,size=12
line,"Dotted, 6px green",,size=6&color=green,size=12
line,"Dotted, 12px blue",,size=12&color=blue,size=12
endtab,,,,
tab,Gray,,"symbol=""line-straight-16.svg""",
line,"Dotted, 2px red",,size=2&color=lightgray,size=12
line,"Dotted, 6px green",,size=6&color=lightgray,size=12
line,"Dotted, 12px blue",,size=12&color=lightgray,size=12
endtab,,,,
tab,Green,,"symbol=""line-straight-16.svg""",
line,"Dotted, 2px red",,size=2&color=green,size=12
line,"Dotted, 6px green",,size=6&color=green,size=12
line,"Dotted, 12px blue",,size=12&color=green,size=12
endtab,,,,
tab,Blue,,"symbol=""line-straight-16.svg""",
line,"Dotted, 2px red",,size=2&color=blue,size=12
line,"Dotted, 6px green",,size=6&color=blue,size=12
line,"Dotted, 12px blue",,size=12&color=blue,size=12
endtab,,,,
tab,Cyan,,"symbol=""line-straight-16.svg""",
line,"Dotted, 2px red",,size=2&color=cyan,size=12
line,"Dotted, 6px green",,size=6&color=cyan,size=12
line,"Dotted, 12px blue",,size=12&color=cyan,size=12
endtab,,,,
